First_name,Surname,Height,Weight,Armspan,Wins,Losses,Draws,Total_Fights,Win_Percentage,sex_weight,sex,verified_sex
Antonina,Shevchenko,68,125,67,8,1,0,9,0.888888889,unknown,female,female
Felicia,Spencer,66,145,68,7,1,0,8,0.875,unknown,female,female
Heili,Alateng,65,135,66,13,7,1,21,0.642857143,unknown,unknown,male
Iuri,Alcantara,69,135,71,35,10,0,45,0.777777778,unknown,unknown,male
Makwan,Amirkhani,70,145,72,15,3,0,18,0.833333333,unknown,unknown,male
Askar,Askarov,66,125,67,10,0,1,11,0.954545455,unknown,unknown,male
Raoni,Barcelos,67,135,67,14,1,0,15,0.933333333,unknown,unknown,male
Danaa,Batgerel,67,135,70,6,2,0,8,0.75,unknown,unknown,male
Magomed,Bibulatov,65,125,65,14,2,0,16,0.875,unknown,unknown,male
Wuliji,Buren,69,135,69,10,7,0,17,0.588235294,unknown,unknown,male
Mads,Burnell,68,145,69,9,3,0,12,0.75,unknown,unknown,male
Giga,Chikadze,72,145,74,8,1,1,10,0.85,unknown,unknown,male
Dooho,Choi,70,145,70,14,3,0,17,0.823529412,unknown,unknown,male
SeungWoo,Choi,72,145,74,7,3,0,10,0.7,unknown,unknown,male
Jussier,Formiga,65,125,67,23,6,0,29,0.793103448,unknown,unknown,male
Movsar,Evloev,67,145,72,11,0,0,11,1,unknown,unknown,male
Wagnney,Fabiano,66,145,69,14,3,0,17,0.823529412,unknown,unknown,male
Deiveson,Figueiredo,65,125,68,17,1,0,18,0.944444444,unknown,unknown,male
Masio,Fullen,70,145,70,10,6,0,16,0.625,unknown,unknown,male
Azamat,Gashimov,66,125,66,10,3,0,13,0.769230769,unknown,unknown,male
Nohelin,Hernandez,70,135,71,10,4,0,14,0.714285714,unknown,unknown,male
Geane,Herrera,65,125,66,9,3,0,12,0.75,unknown,unknown,male
Hatsu,Hioki,71,145,70,27,9,2,38,0.736842105,unknown,unknown,male
Paddy,Holohan,70,125,69,12,2,1,15,0.833333333,unknown,unknown,male
Yoshinori,Horie,68,145,70,8,2,0,10,0.8,unknown,unknown,male
Kyoji,Horiguchi,65,125,66,18,2,0,20,0.9,unknown,unknown,male
Sung Bin,Jo,72,145,72,9,1,0,10,0.9,unknown,unknown,male
Carls,John De Tomas,65,125,71,8,2,0,10,0.8,unknown,unknown,male
Chan Sung,Jung,67,145,72,15,5,0,20,0.75,unknown,unknown,male
Sirwan,Kakai,65,135,66,12,3,0,15,0.8,unknown,unknown,male
Masanori,Kanehara,67,135,67,25,13,5,43,0.639534884,unknown,unknown,male
Kyung Ho,Kang,69,135,73,16,8,0,24,0.666666667,unknown,unknown,male
Katsunori,Kikuno,68,145,66,23,8,2,33,0.727272727,unknown,unknown,male
Noad,Lahat,69,145,69,9,2,0,11,0.818181818,unknown,unknown,male
Cheyden,Leialoha,68,135,73,6,0,0,6,1,unknown,unknown,male
Dileno,Lopes,65,135,65,19,3,0,22,0.863636364,unknown,unknown,male
Zhenhong,Lv,68,145,67,18,6,0,24,0.75,unknown,unknown,male
Yoshiro,Maeda,67,139,68,28,12,2,42,0.69047619,unknown,unknown,male
Zabit,Magomedsharipov,73,145,73,17,1,0,18,0.944444444,unknown,unknown,male
Tateki,Matsuda,67,125,65,10,7,0,17,0.588235294,unknown,unknown,male
Yaotzin,Meza,69,145,74,21,11,0,32,0.65625,unknown,unknown,male
Sheymon,Moraes,68,145,72,11,4,0,15,0.733333333,unknown,unknown,male
Yui Chul,Nam,69,145,69,18,6,1,25,0.74,unknown,unknown,male
Nad,Narimani,68,145,70,12,3,0,15,0.8,unknown,unknown,male
Ning,Guangyou,64,145,64,6,4,1,11,0.590909091,unknown,unknown,male
Michihiro,Omigawa,66,145,68,13,13,1,27,0.5,unknown,unknown,male
Ode,Osbourne,67,135,73,7,2,0,9,0.777777778,unknown,unknown,male
Alptekin,Ozkilic,65,125,65,9,4,0,13,0.692307692,unknown,unknown,male
Raulian,Paiva,68,125,69,18,3,0,21,0.857142857,unknown,unknown,male
Fredson,Paixao,66,145,66,10,4,0,14,0.714285714,unknown,unknown,male
Liu,Pingyuan,66,135,72,13,6,0,19,0.684210526,unknown,unknown,male
Grigorii,Popov,67,135,68,13,2,0,15,0.866666667,unknown,unknown,male
Iliarde,Santos,65,125,66,27,9,1,37,0.743243243,unknown,unknown,male
Ulka,Sasaki,70,125,71,21,6,2,29,0.75862069,unknown,unknown,male
Mackens,Semerzier,69,145,72,8,4,0,12,0.666666667,unknown,unknown,male
Shunichi,Shimizu,65,135,66,28,9,10,47,0.70212766,unknown,unknown,male
Jinsoo,Son,66,135,69,9,4,0,13,0.692307692,unknown,unknown,male
Aljamain,Sterling,67,135,71,18,3,0,21,0.857142857,unknown,unknown,male
Cub,Swanson,68,145,70,26,11,0,37,0.702702703,unknown,unknown,male
Akitoshi,Tamura,69,135,70,16,11,2,29,0.586206897,unknown,unknown,male
Issei,Tamura,65,135,63,7,4,0,11,0.636363636,unknown,unknown,male
Michinori,Tanaka,65,135,67,11,3,0,14,0.785714286,unknown,unknown,male
Deividas,Taurosevicius,69,145,68,13,5,0,18,0.722222222,unknown,unknown,male
Motonobu,Tezuka,67,135,66,19,6,4,29,0.724137931,unknown,unknown,male
Jumabieke,Tuerxun,67,135,67,17,3,1,21,0.833333333,unknown,unknown,male
Zubaira,Tukhugov,68,145,68,18,4,1,23,0.804347826,unknown,unknown,male
Walel,Watson,71,135,69,9,5,0,14,0.642857143,unknown,unknown,male
Norifumi,Yamamoto,64,135,66,18,6,0,24,0.75,unknown,unknown,male
Jianping,Yang,67,145,65,7,4,1,12,0.625,unknown,unknown,male
Aiemann,Zahabi,68,135,68,7,2,0,9,0.777777778,unknown,unknown,male
Kevin,Aguilar,67,145,73,17,2,0,19,0.894736842,unknown,male,male
Jose,Aldo,67,145,70,28,5,0,33,0.848484848,unknown,male,male
Jim,Alers,69,145,71,13,3,0,16,0.8125,unknown,male,male
Arnold,Allen,68,145,70,15,1,0,16,0.9375,unknown,male,male
Adam,Antolin,65,125,63,12,3,0,15,0.8,unknown,male,male
Julio,Arce,67,145,70,16,3,0,19,0.842105263,unknown,male,male
Junior,Assuncao,69,145,72,13,4,0,17,0.764705882,unknown,male,male
Chris,Avila,70,145,72,5,4,0,9,0.555555556,unknown,male,male
Niklas,Backstrom,73,145,74,8,2,0,10,0.8,unknown,male,male
Humberto,Bandenay,71,145,71,14,7,0,21,0.666666667,unknown,male,male
Renan,Barao,66,135,70,36,8,0,44,0.818181818,unknown,male,male
Mario,Bautista,69,135,69,7,1,0,8,0.875,unknown,male,male
Johnny,Bedford,70,135,71,19,13,1,33,0.590909091,unknown,male,male
Mirsad,Bektic,68,145,70,13,2,0,15,0.866666667,unknown,male,male
Joseph,Benavidez,64,125,65,28,5,0,33,0.848484848,unknown,male,male
Ryan,Benoit,65,125,68,10,5,0,15,0.666666667,unknown,male,male
Matt,Bessette,70,145,70,22,9,0,31,0.709677419,unknown,male,male
Maximo,Blanco,68,145,71,12,8,1,21,0.595238095,unknown,male,male
Kyle,Bochniak,67,145,70,8,5,0,13,0.615384615,unknown,male,male
